Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
165,11,372.86,2,5,2,252,At Risk
3,2,1323.32,5,2,4,524,Others
74,1,222.15999999999997,2,1,1,211,Others
43,3,2671.14,3,3,5,335,Loyal Customers
11,1,300.93,5,1,2,512,Others
11,2,343.8,5,2,2,522,Others
44,1,317.76,3,1,2,312,Others
203,1,488.21000000000004,1,1,2,112,Others
16,3,3560.3,4,3,5,435,Loyal Customers
24,2,12079.99,4,2,5,425,Others
11,3,2719.01,5,3,5,535,Loyal Customers
61,6,2563.36,3,4,5,345,Loyal Customers
15,5,1590.83,5,4,4,544,Champions
98,3,321.35,2,3,2,232,At Risk
374,1,130.0,1,1,1,111,Others
269,1,500.24,1,1,3,113,Others
264,1,917.7,1,1,3,113,Others
49,3,1791.15,3,3,4,334,Loyal Customers
260,3,774.62,1,3,3,133,At Risk
45,3,2179.42,3,3,5,335,Loyal Customers
260,2,763.0500000000001,1,2,3,123,Others
57,3,2246.29,3,3,5,335,Loyal Customers
25,2,503.15,4,2,3,423,Others
17,2,1798.2,4,2,4,424,Others
198,1,1407.7,1,1,4,114,Others
58,2,767.98,3,2,3,323,Others
101,7,6951.49,2,5,5,255,At Risk
15,1,1938.4,5,1,4,514,Others
2,1,258.90000000000003,5,1,2,512,Others
51,1,143.94,3,1,1,311,Others
81,2,1120.45,2,2,4,224,Others
38,3,1433.33,3,3,4,334,Loyal Customers
100,5,2285.18,2,4,5,245,At Risk
227,1,234.75000000000003,1,1,1,111,Others
18,2,816.85,4,2,3,423,Others
7,4,2048.64,5,4,4,544,Champions
310,1,931.4300000000001,1,1,3,113,Others
21,3,853.65,4,3,3,433,Loyal Customers
50,1,205.25,3,1,1,311,Others
28,5,1031.3,4,4,4,444,Champions
157,1,591.6600000000001,2,1,3,213,Others
318,1,63.24,1,1,1,111,Others
35,3,2975.06,4,3,5,435,Loyal Customers
21,3,1452.22,4,3,4,434,Loyal Customers
56,4,12346.62,3,4,5,345,Loyal Customers
138,1,320.38,2,1,2,212,Others
45,1,346.9,3,1,2,312,Others
38,3,1370.05,3,3,4,334,Loyal Customers
38,1,241.35,3,1,1,311,Others
99,3,390.0,2,3,2,232,At Risk
11,7,19543.84,5,5,5,555,Champions
292,1,202.56,1,1,1,111,Others
