ds,yhat,PredictedSales,HybridPrediction
2010-12-10,41592.35273011416,20075.752,30834.05236505708
2010-12-11,27858.53950494406,19945.215,23901.87725247203
2010-12-12,36704.16835108902,19891.492,28297.83017554451
2010-12-13,46478.51179178504,19919.713,33199.112395892516
2010-12-14,48406.141174330885,20013.47,34209.80558716544
2010-12-15,45549.72422551927,20123.512,32836.618112759636
2010-12-16,52612.66886554116,20234.832,36423.75043277058
2010-12-17,42622.37699624216,20330.684,31476.53049812108
2010-12-18,28888.56377110745,20417.146,24652.854885553723
2010-12-19,37734.19261725855,20485.643,29109.917808629274
2010-12-20,47508.53605793756,20530.863,34019.699528968784
2010-12-21,49436.16544048317,20570.764,35003.46472024159
2010-12-22,46579.74849167377,20579.53,33579.63924583688
2010-12-23,53642.693131698245,20574.693,37108.69306584912
2010-12-24,43652.4012624153,20552.871,32102.636131207648
2010-12-25,29918.588037261405,20528.36,25223.474018630703
2010-12-26,38764.21688341287,20489.645,29626.930941706436
2010-12-27,48538.56032409008,20466.014,34502.28716204504
2010-12-28,50466.1897066397,20452.764,35459.47685331985
2010-12-29,47609.77275781097,20427.857,34018.81487890548
2010-12-30,54672.71739783479,20390.047,37531.382198917396
2010-12-31,44682.42552855492,20361.248,32521.83676427746
2011-01-01,30948.612303394028,20336.941,25642.776651697015
2011-01-02,39794.24114957479,20315.023,30054.632074787394
2011-01-03,49568.58459023444,20305.52,34937.05229511722
2011-01-04,51496.213972785095,20306.975,35901.59448639255
2011-01-05,48639.79702395858,20295.342,34467.56951197929
2011-01-06,55702.74166399184,20285.412,37994.07683199592
2011-01-07,45712.44979473966,20267.318,32989.88389736983
2011-01-08,31978.636569557428,20257.809,26118.222784778714
