ds,PredictedSales
2010-12-10,20075.752
2010-12-11,19945.215
2010-12-12,19891.492
2010-12-13,19919.713
2010-12-14,20013.47
2010-12-15,20123.512
2010-12-16,20234.832
2010-12-17,20330.684
2010-12-18,20417.146
2010-12-19,20485.643
2010-12-20,20530.863
2010-12-21,20570.764
2010-12-22,20579.53
2010-12-23,20574.693
2010-12-24,20552.871
2010-12-25,20528.36
2010-12-26,20489.645
2010-12-27,20466.014
2010-12-28,20452.764
2010-12-29,20427.857
2010-12-30,20390.047
2010-12-31,20361.248
2011-01-01,20336.941
2011-01-02,20315.023
2011-01-03,20305.52
2011-01-04,20306.975
2011-01-05,20295.342
2011-01-06,20285.412
2011-01-07,20267.318
2011-01-08,20257.809
