ds,yhat,yhat_lower,yhat_upper
2010-12-10,41592.35273011416,27114.199073575364,55149.40115237819
2010-12-11,27858.53950494406,13169.943879205477,42738.5448272562
2010-12-12,36704.16835108902,21444.50658629662,50190.86016970116
2010-12-13,46478.51179178504,31953.371228294258,60950.9643824632
2010-12-14,48406.141174330885,34052.12155408169,62513.69411252299
2010-12-15,45549.72422551927,31027.18142431685,60630.27179680279
2010-12-16,52612.668865541156,37188.395032493754,66494.47762769213
2010-12-17,42622.37699624216,28051.934756163442,57227.70150520243
2010-12-18,28888.563771107452,13806.125082375338,42717.66134784742
2010-12-19,37734.19261725855,23515.572883570014,51862.74991822926
2010-12-20,47508.53605793756,33686.919045332565,62387.149121662726
2010-12-21,49436.165440483164,34997.70936816741,64192.185753898266
2010-12-22,46579.74849167377,32057.84460563916,60863.020471634474
2010-12-23,53642.693131698245,39459.383343504494,67886.95453428863
2010-12-24,43652.4012624153,30251.990130767615,57141.346311877125
2010-12-25,29918.588037261405,15660.598305947478,43778.111906316386
2010-12-26,38764.21688341287,24594.959476048516,52243.37861262512
2010-12-27,48538.56032409008,33775.123580485975,62886.63784968182
2010-12-28,50466.1897066397,36033.34322392516,65742.4212104045
2010-12-29,47609.77275781097,33422.07910003818,61366.18997873104
2010-12-30,54672.717397834786,40901.13578027319,68752.59655928146
2010-12-31,44682.425528554915,30458.126036644197,59087.06041321748
2011-01-01,30948.612303394028,17025.73284919881,44978.15325583964
2011-01-02,39794.24114957479,24292.1363118973,54649.35273300319
2011-01-03,49568.58459023444,35216.888441101444,63226.44614656297
2011-01-04,51496.213972785095,36981.1420502505,65133.82603342123
2011-01-05,48639.79702395858,34578.562935341455,63783.13821313301
2011-01-06,55702.74166399184,41380.86894446172,69989.56749585037
2011-01-07,45712.44979473966,31340.03519062661,59350.672624109095
2011-01-08,31978.636569557428,18330.40493566658,46597.27935262541
