ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-31,567651.7857663872,296335.1939194449,807215.4683226751,567651.7857663872,567651.7857663872,0.0,0.0,0.0,0.0,0.0,0.0,567651.7857663872
2010-01-31,586167.0835448154,318606.25274054956,839641.3190973013,586167.0835448154,586167.0835448154,0.0,0.0,0.0,0.0,0.0,0.0,586167.0835448154
2010-02-28,602890.5783726723,341457.2191985137,878494.2146868472,602890.5783726723,602890.5783726723,0.0,0.0,0.0,0.0,0.0,0.0,602890.5783726723
2010-03-31,621405.8761532583,337934.14483309735,885087.4736380372,621405.8761532583,621405.8761532583,0.0,0.0,0.0,0.0,0.0,0.0,621405.8761532583
2010-04-30,639323.9061603025,364756.14072001283,900487.697732198,639323.9061603025,639323.9061603025,0.0,0.0,0.0,0.0,0.0,0.0,639323.9061603025
2010-05-31,657839.2038227451,397529.45465012896,912827.1804659448,657839.2038227451,657839.2038227451,0.0,0.0,0.0,0.0,0.0,0.0,657839.2038227451
2010-06-30,675757.2338775089,401706.14919278794,936493.7510668095,675757.2338775089,675757.2338775089,0.0,0.0,0.0,0.0,0.0,0.0,675757.2338775089
2010-07-31,694272.5317187448,458665.8186905892,982337.3194522237,694272.5317187448,694272.5317187448,0.0,0.0,0.0,0.0,0.0,0.0,694272.5317187448
2010-08-31,712787.8296316375,459185.6072571387,984989.1315057903,712787.8296316375,712787.8296316375,0.0,0.0,0.0,0.0,0.0,0.0,712787.8296316375
2010-09-30,730705.8598166386,475797.69192852924,991300.5501740901,730705.8598166386,730705.8598166386,0.0,0.0,0.0,0.0,0.0,0.0,730705.8598166386
2010-10-31,749221.1575331768,499247.59101977793,1022971.542570193,749221.1575331768,749221.1575331768,0.0,0.0,0.0,0.0,0.0,0.0,749221.1575331768
2010-11-30,767139.1875814396,508908.25142538664,1010182.1683462721,767139.1875814396,767139.1875814396,0.0,0.0,0.0,0.0,0.0,0.0,767139.1875814396
2010-12-31,785654.4852979779,524819.6201363979,1062508.096507208,785654.4852979779,785654.4852979779,0.0,0.0,0.0,0.0,0.0,0.0,785654.4852979779
2011-01-31,804169.7830145162,560772.8327487411,1065017.8507061733,804169.782363526,804169.7837625648,0.0,0.0,0.0,0.0,0.0,0.0,804169.7830145162
2011-02-28,820893.2777262282,575755.5699224151,1079242.0246435092,820893.2757033843,820893.2801429066,0.0,0.0,0.0,0.0,0.0,0.0,820893.2777262282
2011-03-31,839408.5754427664,572999.9578905983,1079493.572766988,839408.5715562114,839408.5799905979,0.0,0.0,0.0,0.0,0.0,0.0,839408.5754427664
2011-04-30,857326.6054910293,616743.3542170114,1113557.6062587176,857326.5989780019,857326.6129318295,0.0,0.0,0.0,0.0,0.0,0.0,857326.6054910293
2011-05-31,875841.9032075675,594445.1125357108,1131224.910962454,875841.89381344,875841.9135136518,0.0,0.0,0.0,0.0,0.0,0.0,875841.9032075675
2011-06-30,893759.9332558303,626858.2423637235,1160900.3380319842,893759.9209232496,893759.9470337995,0.0,0.0,0.0,0.0,0.0,0.0,893759.9332558303
2011-07-31,912275.2309723687,668569.4122539321,1170585.917332392,912275.2151123753,912275.2479329491,0.0,0.0,0.0,0.0,0.0,0.0,912275.2309723687
2011-08-31,930790.528688907,662315.5998253466,1207773.6845857296,930790.5091552308,930790.5493970126,0.0,0.0,0.0,0.0,0.0,0.0,930790.528688907
2011-09-30,948708.5587371698,696697.5399928567,1194894.9529583303,948708.5348993697,948708.5835182938,0.0,0.0,0.0,0.0,0.0,0.0,948708.5587371698
2011-10-31,967223.8564537081,684901.3560353119,1238640.2702903096,967223.8287890799,967223.8860382049,0.0,0.0,0.0,0.0,0.0,0.0,967223.8564537081
2011-11-30,985141.8865019709,731200.4892074849,1259593.834425003,985141.85420189,985141.9209941146,0.0,0.0,0.0,0.0,0.0,0.0,985141.8865019709
2011-12-31,1003657.1842185092,736364.4872053707,1270285.4457573358,1003657.1477540863,1003657.2238015261,0.0,0.0,0.0,0.0,0.0,0.0,1003657.1842185092
